,PoS,df1,df10,df100,df101,df102,df103,df104,df105,df106,df107,df108,df109,df11,df12,df13,df14,df15,df16,df17,df18,df19,df2,df20,df21,df22,df23,df24,df25,df26,df27,df28,df29,df3,df30,df31,df32,df33,df34,df35,df36,df37,df38,df39,df4,df40,df41,df42,df43,df44,df45,df46,df47,df48,df49,df5,df50,df51,df52,df53,df54,df55,df56,df57,df58,df59,df6,df60,df61,df62,df63,df64,df65,df66,df67,df68,df69,df7,df70,df71,df72,df73,df74,df75,df76,df77,df78,df79,df8,df80,df81,df82,df83,df84,df85,df86,df87,df88,df89,df9,df90,df91,df92,df93,df94,df95,df96,df97,df98,df99,sum,avg
0,NOUN,300.0,247.0,526.0,209.0,169.0,146.0,436.0,473.0,358.0,325.0,240.0,209.0,279.0,263.0,424.0,322.0,383.0,406.0,565.0,446.0,232,331.0,304.0,450.0,132.0,332.0,194.0,105.0,136.0,279.0,313.0,256.0,237.0,311.0,534.0,383.0,392.0,533.0,124.0,402.0,307.0,502.0,288.0,34.0,330.0,210.0,231.0,425.0,210.0,310.0,222.0,296.0,202.0,370.0,391.0,302.0,145.0,411.0,375.0,230.0,300.0,436.0,226.0,359.0,257.0,280.0,388.0,312.0,396.0,355.0,291.0,57.0,421.0,515.0,240.0,325.0,391.0,192.0,679.0,356.0,208.0,377.0,281.0,233.0,344.0,153.0,286.0,171.0,545.0,291.0,308.0,534.0,334.0,214.0,233.0,389.0,126.0,222.0,117.0,334.0,387.0,297.0,403.0,563.0,168.0,93.0,257.0,194.0,476.0,33811.0,310.1926605504587
1,PUNCT,182.0,115.0,285.0,80.0,78.0,41.0,126.0,256.0,146.0,176.0,236.0,150.0,160.0,144.0,205.0,223.0,173.0,203.0,339.0,304.0,116,166.0,109.0,226.0,97.0,218.0,117.0,70.0,68.0,148.0,128.0,139.0,133.0,120.0,278.0,143.0,182.0,229.0,35.0,176.0,109.0,320.0,174.0,16.0,241.0,86.0,140.0,213.0,110.0,143.0,138.0,117.0,70.0,180.0,276.0,144.0,61.0,220.0,173.0,106.0,182.0,241.0,101.0,128.0,110.0,194.0,226.0,128.0,220.0,265.0,95.0,29.0,248.0,343.0,160.0,150.0,247.0,110.0,287.0,257.0,167.0,234.0,192.0,112.0,262.0,89.0,122.0,152.0,186.0,111.0,155.0,208.0,142.0,65.0,70.0,138.0,51.0,80.0,68.0,108.0,173.0,187.0,215.0,261.0,64.0,46.0,133.0,88.0,212.0,17369.0,159.348623853211
2,ADP,158.0,89.0,200.0,88.0,47.0,64.0,146.0,225.0,125.0,125.0,100.0,62.0,92.0,85.0,203.0,130.0,183.0,229.0,264.0,208.0,114,180.0,127.0,224.0,55.0,136.0,121.0,67.0,84.0,128.0,106.0,129.0,96.0,106.0,243.0,216.0,241.0,305.0,56.0,124.0,108.0,220.0,93.0,14.0,115.0,73.0,99.0,174.0,92.0,151.0,108.0,103.0,81.0,178.0,157.0,140.0,63.0,170.0,135.0,83.0,158.0,226.0,100.0,127.0,83.0,117.0,173.0,115.0,177.0,168.0,127.0,24.0,176.0,236.0,97.0,117.0,147.0,69.0,290.0,153.0,81.0,186.0,125.0,75.0,158.0,55.0,98.0,71.0,241.0,106.0,99.0,243.0,134.0,70.0,99.0,160.0,33.0,91.0,56.0,144.0,148.0,130.0,152.0,223.0,83.0,33.0,106.0,76.0,247.0,14441.0,132.4862385321101
3,ADJ,136.0,108.0,190.0,64.0,42.0,71.0,152.0,103.0,121.0,137.0,117.0,106.0,87.0,64.0,165.0,149.0,141.0,151.0,217.0,168.0,107,130.0,88.0,177.0,41.0,109.0,71.0,36.0,41.0,93.0,82.0,99.0,137.0,103.0,129.0,131.0,137.0,242.0,48.0,74.0,90.0,156.0,78.0,27.0,152.0,55.0,98.0,115.0,102.0,125.0,164.0,66.0,42.0,148.0,207.0,110.0,64.0,107.0,139.0,75.0,136.0,124.0,102.0,149.0,118.0,154.0,112.0,94.0,99.0,206.0,122.0,26.0,158.0,155.0,113.0,116.0,129.0,77.0,267.0,139.0,157.0,203.0,118.0,99.0,135.0,67.0,104.0,75.0,178.0,64.0,113.0,180.0,106.0,66.0,96.0,148.0,33.0,57.0,64.0,88.0,171.0,88.0,104.0,149.0,58.0,32.0,94.0,86.0,111.0,12324.0,113.06422018348624
4,VERB,98.0,83.0,98.0,47.0,73.0,36.0,155.0,105.0,111.0,93.0,79.0,62.0,83.0,71.0,119.0,133.0,111.0,119.0,194.0,109.0,61,116.0,84.0,201.0,42.0,103.0,69.0,34.0,41.0,88.0,78.0,85.0,65.0,81.0,126.0,98.0,152.0,150.0,31.0,118.0,100.0,141.0,98.0,13.0,105.0,65.0,68.0,170.0,64.0,96.0,105.0,88.0,64.0,141.0,112.0,117.0,37.0,185.0,128.0,82.0,98.0,134.0,87.0,128.0,89.0,83.0,80.0,85.0,98.0,99.0,96.0,15.0,133.0,111.0,61.0,93.0,152.0,47.0,245.0,106.0,52.0,132.0,96.0,59.0,98.0,42.0,88.0,67.0,151.0,83.0,87.0,220.0,98.0,61.0,61.0,139.0,41.0,70.0,38.0,103.0,112.0,97.0,168.0,149.0,41.0,36.0,74.0,43.0,126.0,10453.0,95.89908256880734
5,DET,97.0,72.0,162.0,44.0,45.0,20.0,96.0,161.0,118.0,72.0,67.0,38.0,65.0,46.0,174.0,91.0,106.0,169.0,227.0,134.0,73,125.0,75.0,165.0,37.0,118.0,90.0,42.0,47.0,60.0,65.0,82.0,51.0,47.0,202.0,194.0,169.0,176.0,43.0,127.0,92.0,112.0,51.0,4.0,73.0,57.0,71.0,163.0,42.0,73.0,75.0,64.0,57.0,162.0,85.0,113.0,37.0,134.0,125.0,65.0,97.0,72.0,49.0,49.0,46.0,41.0,81.0,82.0,71.0,97.0,82.0,14.0,136.0,107.0,34.0,85.0,109.0,49.0,308.0,71.0,69.0,120.0,74.0,42.0,117.0,44.0,51.0,32.0,197.0,56.0,97.0,173.0,108.0,97.0,106.0,189.0,21.0,87.0,43.0,93.0,93.0,68.0,209.0,143.0,32.0,42.0,42.0,44.0,198.0,10014.0,91.87155963302752
6,PROPN,167.0,35.0,67.0,20.0,33.0,33.0,43.0,191.0,69.0,115.0,203.0,92.0,110.0,85.0,104.0,147.0,137.0,158.0,181.0,201.0,30,113.0,58.0,28.0,15.0,178.0,35.0,20.0,13.0,18.0,67.0,136.0,69.0,71.0,175.0,94.0,119.0,177.0,2.0,38.0,21.0,156.0,168.0,2.0,101.0,29.0,65.0,121.0,32.0,46.0,57.0,23.0,12.0,66.0,161.0,74.0,12.0,81.0,33.0,23.0,167.0,122.0,67.0,1.0,17.0,128.0,176.0,55.0,176.0,176.0,40.0,10.0,191.0,193.0,103.0,36.0,159.0,39.0,180.0,240.0,127.0,132.0,78.0,32.0,238.0,24.0,10.0,132.0,36.0,21.0,25.0,73.0,44.0,13.0,8.0,27.0,20.0,2.0,28.0,14.0,22.0,106.0,25.0,201.0,19.0,2.0,108.0,24.0,205.0,9002.0,82.58715596330275
7,AUX,45.0,39.0,77.0,24.0,24.0,15.0,31.0,63.0,56.0,21.0,32.0,27.0,18.0,29.0,63.0,46.0,28.0,56.0,71.0,89.0,34,51.0,36.0,55.0,14.0,29.0,40.0,22.0,22.0,47.0,34.0,33.0,19.0,39.0,70.0,55.0,37.0,78.0,3.0,60.0,55.0,43.0,22.0,7.0,52.0,22.0,31.0,55.0,22.0,64.0,61.0,47.0,28.0,61.0,34.0,70.0,17.0,45.0,42.0,54.0,45.0,59.0,36.0,47.0,45.0,28.0,45.0,36.0,43.0,51.0,36.0,7.0,35.0,75.0,31.0,38.0,48.0,17.0,83.0,58.0,15.0,69.0,41.0,17.0,28.0,26.0,24.0,22.0,79.0,47.0,36.0,75.0,67.0,48.0,49.0,61.0,13.0,39.0,9.0,37.0,51.0,39.0,90.0,64.0,18.0,22.0,38.0,26.0,51.0,4528.0,41.54128440366973
8,NUM,41.0,9.0,95.0,19.0,4.0,16.0,37.0,106.0,49.0,38.0,46.0,27.0,21.0,39.0,37.0,31.0,42.0,73.0,81.0,74.0,27,89.0,27.0,35.0,19.0,57.0,33.0,10.0,4.0,43.0,43.0,41.0,15.0,39.0,57.0,55.0,60.0,40.0,10.0,39.0,29.0,75.0,42.0,6.0,48.0,19.0,35.0,25.0,42.0,53.0,24.0,27.0,12.0,30.0,57.0,28.0,8.0,29.0,27.0,24.0,41.0,62.0,16.0,6.0,33.0,39.0,61.0,23.0,60.0,54.0,21.0,3.0,65.0,113.0,46.0,29.0,44.0,17.0,65.0,56.0,39.0,58.0,56.0,15.0,89.0,25.0,32.0,35.0,35.0,22.0,25.0,52.0,20.0,8.0,21.0,24.0,4.0,7.0,10.0,20.0,38.0,48.0,33.0,64.0,10.0,4.0,22.0,15.0,66.0,4019.0,36.87155963302752
9,CCONJ,41.0,26.0,57.0,16.0,13.0,17.0,76.0,40.0,41.0,44.0,27.0,28.0,34.0,28.0,30.0,34.0,43.0,64.0,85.0,52.0,26,32.0,33.0,48.0,30.0,46.0,21.0,12.0,5.0,48.0,43.0,38.0,34.0,42.0,34.0,31.0,29.0,61.0,13.0,37.0,28.0,62.0,62.0,1.0,49.0,17.0,34.0,52.0,23.0,39.0,26.0,30.0,12.0,41.0,53.0,26.0,15.0,57.0,37.0,21.0,41.0,48.0,29.0,46.0,36.0,42.0,63.0,38.0,67.0,67.0,29.0,5.0,53.0,59.0,22.0,37.0,57.0,19.0,70.0,58.0,35.0,50.0,29.0,38.0,53.0,10.0,24.0,31.0,52.0,18.0,34.0,48.0,31.0,11.0,14.0,36.0,14.0,15.0,16.0,28.0,59.0,29.0,30.0,58.0,16.0,16.0,39.0,30.0,62.0,3956.0,36.293577981651374
10,ADV,25.0,23.0,23.0,26.0,24.0,4.0,43.0,43.0,34.0,34.0,24.0,12.0,10.0,26.0,41.0,33.0,32.0,40.0,66.0,47.0,25,56.0,22.0,61.0,19.0,35.0,28.0,7.0,22.0,33.0,29.0,32.0,13.0,33.0,43.0,31.0,29.0,46.0,7.0,60.0,44.0,47.0,15.0,6.0,39.0,23.0,23.0,34.0,11.0,31.0,44.0,25.0,12.0,46.0,28.0,32.0,22.0,42.0,55.0,25.0,25.0,52.0,33.0,38.0,31.0,21.0,42.0,24.0,21.0,57.0,46.0,4.0,36.0,46.0,31.0,25.0,42.0,8.0,53.0,31.0,30.0,43.0,40.0,13.0,35.0,8.0,33.0,14.0,59.0,38.0,25.0,47.0,50.0,14.0,27.0,53.0,4.0,25.0,13.0,23.0,37.0,39.0,42.0,49.0,24.0,18.0,29.0,16.0,73.0,3432.0,31.486238532110093
11,PRON,17.0,16.0,36.0,11.0,17.0,8.0,72.0,19.0,18.0,22.0,10.0,12.0,17.0,15.0,39.0,23.0,43.0,40.0,56.0,29.0,23,34.0,8.0,89.0,23.0,16.0,35.0,16.0,14.0,18.0,17.0,23.0,10.0,16.0,39.0,20.0,59.0,51.0,5.0,18.0,21.0,31.0,16.0,5.0,22.0,14.0,29.0,46.0,10.0,20.0,23.0,17.0,17.0,32.0,30.0,25.0,7.0,56.0,49.0,15.0,17.0,39.0,8.0,31.0,19.0,2.0,27.0,16.0,11.0,32.0,22.0,8.0,19.0,36.0,13.0,7.0,53.0,2.0,26.0,10.0,16.0,39.0,26.0,12.0,18.0,10.0,17.0,11.0,40.0,23.0,7.0,34.0,38.0,6.0,7.0,27.0,4.0,11.0,7.0,31.0,34.0,17.0,39.0,28.0,5.0,8.0,9.0,12.0,24.0,2497.0,22.908256880733944
12,PART,11.0,19.0,10.0,6.0,18.0,5.0,29.0,16.0,24.0,14.0,18.0,5.0,13.0,9.0,43.0,15.0,19.0,21.0,28.0,15.0,2,13.0,10.0,33.0,,10.0,12.0,3.0,2.0,17.0,6.0,11.0,5.0,10.0,44.0,8.0,11.0,21.0,3.0,15.0,16.0,19.0,6.0,1.0,18.0,3.0,9.0,44.0,10.0,15.0,20.0,14.0,9.0,16.0,15.0,24.0,3.0,34.0,24.0,22.0,11.0,30.0,14.0,22.0,20.0,10.0,11.0,5.0,16.0,15.0,13.0,2.0,14.0,17.0,3.0,7.0,29.0,4.0,31.0,22.0,9.0,15.0,9.0,4.0,9.0,4.0,6.0,5.0,22.0,17.0,10.0,20.0,26.0,10.0,3.0,25.0,3.0,6.0,5.0,19.0,13.0,9.0,17.0,25.0,2.0,4.0,9.0,3.0,18.0,1519.0,13.935779816513762
13,X,,,43.0,13.0,10.0,,34.0,3.0,1.0,2.0,1.0,3.0,4.0,11.0,3.0,3.0,2.0,1.0,8.0,,20,,20.0,52.0,26.0,2.0,61.0,30.0,21.0,32.0,26.0,3.0,3.0,3.0,5.0,1.0,89.0,,,26.0,39.0,16.0,,3.0,4.0,11.0,,4.0,,35.0,31.0,20.0,8.0,1.0,8.0,2.0,,40.0,29.0,8.0,,13.0,1.0,11.0,36.0,2.0,1.0,20.0,,16.0,12.0,7.0,2.0,1.0,3.0,4.0,7.0,3.0,1.0,5.0,5.0,5.0,89.0,34.0,4.0,31.0,33.0,1.0,26.0,23.0,29.0,54.0,8.0,10.0,23.0,29.0,,11.0,,2.0,24.0,1.0,3.0,,7.0,8.0,,23.0,3.0,1452.0,13.321100917431192
14,SCONJ,8.0,9.0,12.0,8.0,10.0,4.0,24.0,11.0,10.0,8.0,10.0,4.0,1.0,12.0,22.0,8.0,14.0,20.0,47.0,28.0,25,15.0,3.0,29.0,15.0,13.0,15.0,9.0,15.0,8.0,7.0,18.0,5.0,15.0,20.0,27.0,21.0,21.0,3.0,18.0,21.0,13.0,17.0,1.0,13.0,6.0,24.0,14.0,7.0,18.0,16.0,6.0,10.0,19.0,11.0,17.0,4.0,18.0,24.0,11.0,8.0,21.0,5.0,7.0,9.0,12.0,14.0,12.0,16.0,15.0,17.0,4.0,11.0,14.0,8.0,9.0,15.0,3.0,15.0,6.0,3.0,27.0,12.0,3.0,9.0,3.0,7.0,4.0,22.0,13.0,8.0,19.0,13.0,14.0,16.0,19.0,3.0,10.0,2.0,21.0,12.0,21.0,37.0,13.0,2.0,10.0,7.0,3.0,20.0,1416.0,12.990825688073395
15,SYM,1.0,,2.0,6.0,1.0,,1.0,3.0,4.0,1.0,,1.0,,2.0,6.0,2.0,3.0,,,1.0,3,3.0,7.0,2.0,5.0,1.0,3.0,,,3.0,3.0,3.0,2.0,3.0,,,1.0,1.0,,5.0,6.0,8.0,,1.0,4.0,5.0,,,10.0,1.0,3.0,4.0,,,1.0,1.0,1.0,2.0,8.0,,1.0,3.0,1.0,2.0,6.0,1.0,6.0,3.0,2.0,3.0,3.0,,2.0,23.0,2.0,,1.0,,5.0,2.0,1.0,2.0,4.0,,1.0,5.0,9.0,,4.0,4.0,15.0,7.0,1.0,1.0,4.0,,,1.0,,3.0,3.0,,1.0,5.0,1.0,1.0,19.0,3.0,7.0,302.0,2.770642201834862
16,INTJ,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.03669724770642202
